# language_name: Gujarati
# code: gujarati
# iso639: guj
# script: Gujarati
# speakers: 55 million
construct_id,native_keyword,romenagri,note
KW_IF,જો,jau,if
KW_ELSE,નહીંતર,nahii_ntara,else
KW_ELIF,અથવાજો,athavaajau,elif
KW_WHILE,જ્યાંસુધી,jyaa_nsudhii,while
KW_DO,કરો,karau,do
KW_FOR,માટે,maatee,for
KW_BREAK,તોડો,taudau,break
KW_CONTINUE,ચાલુ,caalu,continue
KW_SWITCH,પસંદગી,pasa_ndagii,switch
KW_CASE,સ્થિતિ,sthiti,case
KW_DEFAULT,મૂળભૂત,muulabhuuta,default
KW_RETURN,પાછા,paachaa,return
KW_GOTO,જાઓ,jaaau,goto
KW_VAR,ચલ,cala,var
KW_CONST,અચલ,acala,const
KW_LET,ધારો,dhaarau,let
KW_INT,પૂર્ણાંક,puur_naa_nka,int
KW_FLOAT,દશાંશ,dashaa_nsha,float
KW_DOUBLE,દ્વિગુણ,dvigu_na,double
KW_CHAR,અક્ષર,ak_sara,char
KW_BOOL,તાર્કિક,taarkika,bool
KW_STRING,શબ્દમાળા,shabdamaalaa,string
KW_VOID,શૂન્ય,shuunya,void
KW_TRUE,સાચું,saacu_n,true
KW_FALSE,ખોટું,khautu_n,false
KW_NULL,ખાલી,khaalii,null
KW_FUNC,વિધેય,vidheeya,function
KW_PROC,પ્રક્રિયા,prakriyaa,procedure
KW_CALL,બોલાવો,baulaavau,call
KW_PARAM,પ્રાચલ,praacala,param
KW_LAMBDA,અનામી,anaamii,lambda
KW_YIELD,આપો,aapau,yield
KW_AWAIT,રાહજુઓ,raahajuau,await
KW_ASYNC,અસમકાલીન,asamakaaliina,async
KW_CLASS,વર્ગ,varga,class
KW_OBJECT,વસ્તુ,vastu,object
KW_INTERFACE,આંતરફલક,aa_ntaraphalaka,interface
KW_EXTENDS,વિસ્તરે,vistaree,extends
KW_IMPLEMENTS,અમલ,amala,implements
KW_NEW,નવું,navu_n,new
KW_THIS,આ,aa,this
KW_SUPER,પરમ,parama,super
KW_PUBLIC,જાહેર,jaaheera,public
KW_PRIVATE,ખાનગી,khaanagii,private
KW_PROTECTED,સુરક્ષિત,surak_sita,protected
KW_STATIC,સ્થિર,sthira,static
KW_ABSTRACT,અમૂર્ત,amuurta,abstract
KW_VIRTUAL,આભાસી,aabhaasii,virtual
KW_OVERRIDE,ઉપરવટ,uparavata,override
KW_MATCH,મેળ,meela,match
KW_WHEN,જ્યારે,jyaaree,when
KW_FUN,ફલન,phalana,fun
KW_REC,પુનરાવર્તી,punaraavartii,rec
KW_IN,માં,maa_n,in
KW_WHERE,જ્યાં,jyaa_n,where
KW_DATA,માહિતી,maahitii,data
KW_TYPE,પ્રકાર,prakaara,type
KW_MODULE,વિભાગ,vibhaaga,module
KW_RULE,નિયમ,niyama,rule
KW_FACT,હકીકત,hakiikata,fact
KW_QUERY,પ્રશ્ન,prashna,query
KW_NOT,નહીં,nahii_n,not
KW_AND,અને,anee,and
KW_OR,અથવા,athavaa,or
KW_THREAD,તંતુ,ta_ntu,thread
KW_SPAWN,ઉત્પન્ન,utpanna,spawn
KW_LOCK,તાળું,taalu_n,lock
KW_SYNC,સમકાલિક,samakaalika,synchronized
KW_CHANNEL,માધ્યમ,maadhyama,channel
KW_SELECT,પસંદ,pasa_nda,select
KW_PTR,નિર્દેશક,nirdeeshaka,pointer
KW_REF,સંદર્ભ,sa_ndarbha,ref
KW_ALLOC,ફાળવો,phaalavau,alloc
KW_FREE,મુક્ત,mukta,free
KW_SIZEOF,કદ,kada,sizeof
KW_STRUCT,સંરચના,sa_nracanaa,struct
KW_UNION,સંઘ,sa_ngha,union
KW_ENUM,ગણના,ga_nanaa,enum
KW_TYPEDEF,પ્રકારવ્યાખ્યા,prakaaravyaakhyaa,typedef
KW_VOLATILE,અસ્થિર,asthira,volatile
KW_REGISTER,નોંધણી,nau_ndha_nii,register
KW_EXTERN,બાહ્ય,baahya,extern
KW_INLINE,અંતઃરેખ,a_nta_hreekha,inline
KW_ENTITY,એકમ,eekama,entity
KW_ARCH,સ્થાપત્ય,sthaapatya,architecture
KW_SIGNAL,સંકેત,sa_nkeeta,signal
KW_PORT,દ્વાર,dvaara,port
KW_WIRE,તાર,taara,wire
KW_REG,નોંધ,nau_ndha,reg
KW_MODULE_HW,ભાગ,bhaaga,module
KW_ALWAYS,હંમેશા,ha_nmeeshaa,always
KW_ASSIGN,સોંપો,sau_npau,assign
KW_BEGIN,શરૂ,sharuu,begin
KW_END,અંત,a_nta,end
KW_TRY,પ્રયાસ,prayaasa,try
KW_CATCH,પકડો,pakadau,catch
KW_FINALLY,છેવટે,cheevatee,finally
KW_THROW,ફેંકો,phee_nkau,throw
KW_RAISE,ઉઠાવો,uthaavau,raise
KW_EXCEPT,અપવાદ,apavaada,except
KW_IMPORT,આયાત,aayaata,import
KW_EXPORT,નિકાસ,nikaasa,export
KW_PACKAGE,પૅકેજ,paikeeja,package
KW_NAMESPACE,નામાકાશ,naamaakaasha,tatsama<sanskrit
KW_USE,ઉપયોગ,upayauga,tatsama<sanskrit
KW_INCLUDE,અન્તર્ભાવ,antarbhaava,tatsama<sanskrit
KW_FROM,તઃ,ta_h,tatsama<sanskrit
KW_AS,ઇવ,iva,tatsama<sanskrit
KW_KERNEL,બીજ,biija,tatsama<sanskrit
KW_DEVICE,યન્ત્ર,yantra,tatsama<sanskrit
KW_HOST,આતિથેય,aatitheeya,tatsama<sanskrit
KW_GLOBAL,વૈશ્વિક,vaishvika,tatsama<sanskrit
KW_SHARED,સહભાજિત,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,તન્ત્વઙ્ક,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,ખણ્ડાઙ્ક,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,જાલ,jaala,tatsama<sanskrit
KW_BARRIER,અવરોધ,avaurudha,tatsama<sanskrit
KW_ATOMIC,આણવિક,aa_navika,tatsama<sanskrit
KW_WARP,તન્તુસમૂહ,tantusamuuha,tatsama<sanskrit
KW_TENSOR,પ્રદિશ,pradisha,tatsama<sanskrit
KW_MATRIX,આવ્યૂહ,aavyuuha,tatsama<sanskrit
KW_VECTOR,સદિશ,sadisha,tatsama<sanskrit
KW_GRAD,પ્રવણતા,prava_nataa,tatsama<sanskrit
KW_BACKPROP,પ્રતિપ્રસાર,pratiprasaara,tatsama<sanskrit
KW_FORWARD,અગ્રપ્રસાર,agraprasaara,tatsama<sanskrit
KW_LAYER,સ્તર,stara,tatsama<sanskrit
KW_MODEL,પ્રતિમાન,pratimaana,tatsama<sanskrit
KW_TRAIN,પ્રશિક્ષણ,prashik_sa_na,tatsama<sanskrit
KW_INFER,અનુમાન,anumaana,tatsama<sanskrit
KW_LOSS,હાનિ,haani,tatsama<sanskrit
KW_OPTIMIZE,અનુકૂલન,anukuulana,tatsama<sanskrit
KW_ACTIVATION,સક્રિયણ,sakriya_na,tatsama<sanskrit
