# language_name: Marathi
# code: marathi
# iso639: mar
# script: Devanagari
# speakers: 83 million
construct_id,native_keyword,romenagri,note
KW_IF,जर,jara,if
KW_ELSE,अन्यथा,anyathaa,else
KW_ELIF,किंवाजर,ki_nvaajara,elif
KW_WHILE,पर्यंत,parya_nta,while
KW_DO,करा,karaa,do
KW_FOR,साठी,saathii,for
KW_BREAK,थांबा,thaa_mbaa,break
KW_CONTINUE,सुरूठेवा,suruutheevaa,continue
KW_SWITCH,निवड,nivada,switch
KW_CASE,स्थिती,sthitii,case
KW_DEFAULT,पूर्वनिर्धारित,puurvanirdhaarita,default
KW_RETURN,परत,parata,return
KW_GOTO,जा,jaa,goto
KW_VAR,चल,cala,var
KW_CONST,स्थिरांक,sthiraa_nka,const
KW_LET,समजा,samajaa,let
KW_INT,पूर्णांक,puur_naa_nka,int
KW_FLOAT,दशांश,dashaa_nsha,float
KW_DOUBLE,द्विगुण,dvigu_na,double
KW_CHAR,अक्षर,ak_sara,char
KW_BOOL,तार्किक,taarkika,bool
KW_STRING,अक्षरमाला,ak_saramaalaa,string
KW_VOID,शून्य,shuunya,void
KW_TRUE,सत्य,satya,true
KW_FALSE,असत्य,asatya,false
KW_NULL,रिक्त,rikta,null
KW_FUNC,कार्य,kaarya,function
KW_PROC,प्रक्रिया,prakriyaa,procedure
KW_CALL,बोलवा,baolavaa,call
KW_PARAM,प्राचल,praacala,param
KW_LAMBDA,निनावी,ninaavii,lambda
KW_YIELD,द्या,dyaa,yield
KW_AWAIT,प्रतीक्षा,pratiik_saa,await
KW_ASYNC,असमकालिक,asamakaalika,async
KW_CLASS,वर्ग,varga,class
KW_OBJECT,वस्तू,vastuu,object
KW_INTERFACE,अंतरफलक,a_ntaraphalaka,interface
KW_EXTENDS,विस्तारित,vistaarita,extends
KW_IMPLEMENTS,अंमलात,a_nmalaata,implements
KW_NEW,नवीन,naviina,new
KW_THIS,हे,hee,this
KW_SUPER,परम,parama,super
KW_PUBLIC,सार्वजनिक,saarvajanika,public
KW_PRIVATE,खाजगी,khaajagii,private
KW_PROTECTED,संरक्षित,sa_nrak_sita,protected
KW_STATIC,स्थिर,sthira,static
KW_ABSTRACT,अमूर्त,amuurta,abstract
KW_VIRTUAL,आभासी,aabhaasii,virtual
KW_OVERRIDE,अधिक्रमण,adhikrama_na,override
KW_MATCH,जुळवा,julavaa,match
KW_WHEN,जेव्हा,jeevhaa,when
KW_FUN,फलन,phalana,fun
KW_REC,पुनरावर्ती,punaraavartii,rec
KW_IN,मध्ये,madhyee,in
KW_WHERE,जिथे,jithee,where
KW_DATA,विदा,vidaa,data
KW_TYPE,प्रकार,prakaara,type
KW_MODULE,घटक,ghataka,module
KW_RULE,नियम,niyama,rule
KW_FACT,तथ्य,tathya,fact
KW_QUERY,प्रश्न,prashna,query
KW_NOT,नाही,naahii,not
KW_AND,आणि,aa_ni,and
KW_OR,किंवा,ki_nvaa,or
KW_THREAD,धागा,dhaagaa,thread
KW_SPAWN,निर्माण,nirmaa_na,spawn
KW_LOCK,कुलूप,kuluupa,lock
KW_SYNC,समकालिक,samakaalika,synchronized
KW_CHANNEL,माध्यम,maadhyama,channel
KW_SELECT,निवडा,nivadaa,select
KW_PTR,निर्देशक,nirdeeshaka,pointer
KW_REF,संदर्भ,sa_ndarbha,ref
KW_ALLOC,वाटप,vaatapa,alloc
KW_FREE,मुक्त,mukta,free
KW_SIZEOF,आकार,aakaara,sizeof
KW_STRUCT,संरचना,sa_nracanaa,struct
KW_UNION,संघ,sa_ngha,union
KW_ENUM,गणना,ga_nanaa,enum
KW_TYPEDEF,प्रकारव्याख्या,prakaaravyaakhyaa,typedef
KW_VOLATILE,अस्थिर,asthira,volatile
KW_REGISTER,नोंदणी,nau_nda_nii,register
KW_EXTERN,बाह्य,baahya,extern
KW_INLINE,ओळीत,auliita,inline
KW_ENTITY,घटक,ghataka,entity
KW_ARCH,स्थापत्य,sthaapatya,architecture
KW_SIGNAL,संकेत,sa_nkeeta,signal
KW_PORT,बंदर,ba_ndara,port
KW_WIRE,तार,taara,wire
KW_REG,नोंद,nau_nda,reg
KW_MODULE_HW,भाग,bhaaga,module
KW_ALWAYS,नेहमी,neehamii,always
KW_ASSIGN,नेमणूक,neema_nuuka,assign
KW_BEGIN,प्रारंभ,praara_nbha,begin
KW_END,शेवट,sheevata,end
KW_TRY,प्रयत्न,prayatna,try
KW_CATCH,पकडा,pakadaa,catch
KW_FINALLY,अखेरीस,akheeriisa,finally
KW_THROW,फेका,pheekaa,throw
KW_RAISE,उठवा,uthavaa,raise
KW_EXCEPT,अपवाद,apavaada,except
KW_IMPORT,आयात,aayaata,import
KW_EXPORT,निर्यात,niryaata,export
KW_PACKAGE,पॅकेज,paikeeja,package
KW_NAMESPACE,नामाकाश,naamaakaasha,tatsama<sanskrit
KW_USE,उपयोग,upayauga,tatsama<sanskrit
KW_INCLUDE,अन्तर्भाव,antarbhaava,tatsama<sanskrit
KW_FROM,तः,ta_h,tatsama<sanskrit
KW_AS,इव,iva,tatsama<sanskrit
KW_KERNEL,बीज,biija,tatsama<sanskrit
KW_DEVICE,यन्त्र,yantra,tatsama<sanskrit
KW_HOST,आतिथेय,aatitheeya,tatsama<sanskrit
KW_GLOBAL,वैश्विक,vaishvika,tatsama<sanskrit
KW_SHARED,सहभाजित,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,तन्त्वङ्क,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,खण्डाङ्क,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,जाल,jaala,tatsama<sanskrit
KW_BARRIER,अवरोध,avaurudha,tatsama<sanskrit
KW_ATOMIC,आणविक,aa_navika,tatsama<sanskrit
KW_WARP,तन्तुसमूह,tantusamuuha,tatsama<sanskrit
KW_TENSOR,प्रदिश,pradisha,tatsama<sanskrit
KW_MATRIX,आव्यूह,aavyuuha,tatsama<sanskrit
KW_VECTOR,सदिश,sadisha,tatsama<sanskrit
KW_GRAD,प्रवणता,prava_nataa,tatsama<sanskrit
KW_BACKPROP,प्रतिप्रसार,pratiprasaara,tatsama<sanskrit
KW_FORWARD,अग्रप्रसार,agraprasaara,tatsama<sanskrit
KW_LAYER,स्तर,stara,tatsama<sanskrit
KW_MODEL,प्रतिमान,pratimaana,tatsama<sanskrit
KW_TRAIN,प्रशिक्षण,prashik_sa_na,tatsama<sanskrit
KW_INFER,अनुमान,anumaana,tatsama<sanskrit
KW_LOSS,हानि,haani,tatsama<sanskrit
KW_OPTIMIZE,अनुकूलन,anukuulana,tatsama<sanskrit
KW_ACTIVATION,सक्रियण,sakriya_na,tatsama<sanskrit
KW_WEIGHT,भार,bhaara,tatsama<sanskrit
KW_BIAS,पक्षपात,pak_sapaata,tatsama<sanskrit
KW_EPOCH,कल्प,kalpa,tatsama<sanskrit
KW_BATCH,पुञ्ज,pu_nja,tatsama<sanskrit
KW_DATASET,दत्तसमूह,dattasamuuha,tatsama<sanskrit
KW_EMBED,निवेशन,niveeshana,tatsama<sanskrit
KW_ATTENTION,अवधान,avadhaana,tatsama<sanskrit
KW_PIN,कीलक,kiilaka,tatsama<sanskrit
KW_READ,पठ,patha,tatsama<sanskrit
KW_WRITE,लिख,likha,tatsama<sanskrit
KW_ANALOG,सदृश,sadr_sha,tatsama<sanskrit
KW_DIGITAL,अङ्कीय,a_nkiiya,tatsama<sanskrit
KW_PWM,स्पन्दविस्तार,spandavistaara,tatsama<sanskrit
KW_INTERRUPT,विघ्न,vighna,tatsama<sanskrit
KW_TIMER,कालयन्त्र,kaalayantra,tatsama<sanskrit
KW_SENSOR,संवेदक,sa_nveedaka,tatsama<sanskrit
KW_ACTUATOR,प्रवर्तक,pravartaka,tatsama<sanskrit
KW_BUS,मार्ग,maarga,tatsama<sanskrit
KW_PROTOCOL,नियमावली,niyamaavalii,tatsama<sanskrit
KW_SLEEP,सुषुप्ति,su_supti,tatsama<sanskrit
KW_WAKE,जागृ,jaagr_,tatsama<sanskrit
KW_MOTOR,चालक,caalaka,tatsama<sanskrit
KW_SERVO,अनुचालक,anucaalaka,tatsama<sanskrit
KW_JOINT,सन्धि,sandhi,tatsama<sanskrit
KW_POSE,मुद्रा,mudraa,tatsama<sanskrit
KW_TRAJECTORY,प्रक्षेपपथ,prak_seepapatha,tatsama<sanskrit
KW_FEEDBACK,प्रतिपुष्टि,pratipu_sti,tatsama<sanskrit
KW_PID,नियन्त्रक,niyantraka,tatsama<sanskrit
KW_DEADLINE,कालसीमा,kaalasiimaa,tatsama<sanskrit
KW_PERIODIC,आवर्तिक,aavartika,tatsama<sanskrit
KW_PRIORITY,प्राथम्य,praathamya,tatsama<sanskrit
KW_ACTUATE,प्रवर्तय,pravartaya,tatsama<sanskrit
KW_PERCEIVE,प्रत्यक्ष,pratyak_sa,tatsama<sanskrit
KW_PLAN,योजना,yaujanaa,tatsama<sanskrit
KW_STREAM,धारा,dhaaraa,tatsama<sanskrit
KW_PIPE,प्रणाल,pra_naala,tatsama<sanskrit
KW_MAP,प्रतिचित्र,praticitra,tatsama<sanskrit
KW_FILTER,छाल,chaala,tatsama<sanskrit
KW_REDUCE,न्यूनीकृ,nyuuniikr_,tatsama<sanskrit
KW_FOLD,संवेष्ट,sa_nvee_sta,tatsama<sanskrit
KW_OBSERVE,निरीक्ष,niriik_sa,tatsama<sanskrit
KW_EMIT,उत्सृज,utsr_ja,tatsama<sanskrit
KW_SUBSCRIBE,अभिनिवेश,abhiniveesha,tatsama<sanskrit
KW_DEBOUNCE,स्पन्दशोधन,spandashaudhana,tatsama<sanskrit
KW_OWN,स्वामित्व,svaamitva,tatsama<sanskrit
KW_BORROW,ऋण,r_na,tatsama<sanskrit
KW_MOVE,स्थानान्तर,sthaanaantara,tatsama<sanskrit
KW_MUT,परिवर्त्य,parivartya,tatsama<sanskrit
KW_LIFETIME,आयुष्काल,aayu_skaala,tatsama<sanskrit
KW_ARENA,क्षेत्र,k_seetra,tatsama<sanskrit
KW_GC,मलसंग्रह,malasa_ngraha,tatsama<sanskrit
KW_PIN_MEM,स्मृतिकीलक,smr_tikiilaka,tatsama<sanskrit
KW_REQUIRES,अपेक्षते,apeek_satee,tatsama<sanskrit
KW_ENSURES,सुनिश्चयति,sunishcayati,tatsama<sanskrit
KW_INVARIANT,अपरिवर्त्य,aparivartya,tatsama<sanskrit
KW_ASSERT,प्रतिज्ञा,pratijnyaa,tatsama<sanskrit
KW_ASSUME,अध्यवस्यति,adhyavasyati,tatsama<sanskrit
KW_PROVE,साधयति,saadhayati,tatsama<sanskrit
KW_REFINES,परिष्करोति,pari_skarauti,tatsama<sanskrit
KW_MODEL_CHECK,प्रतिमानपरीक्षा,pratimaanapariik_saa,tatsama<sanskrit
KW_NODE,ग्रन्थि,granthi,tatsama<sanskrit
KW_REPLICA,प्रतिकृति,pratikr_ti,tatsama<sanskrit
KW_CONSENSUS,सर्वसम्मति,sarvasammati,tatsama<sanskrit
KW_SHARD,खण्ड,kha_nda,tatsama<sanskrit
KW_GOSSIP,जनवाद,janavaada,tatsama<sanskrit
KW_LEADER,नायक,naayaka,tatsama<sanskrit
KW_RPC,दूरप्रक्रिया,duuraprakriyaa,tatsama<sanskrit
KW_ACTOR,कर्तृ,kartr_,tatsama<sanskrit
KW_MESSAGE,सन्देश,sandeesha,tatsama<sanskrit
