# language_name: Telugu
# code: telugu
# iso639: tel
# script: Telugu
# speakers: 95 million
construct_id,native_keyword,romenagri,note
KW_IF,ఒకవేళ,okaveela,if
KW_ELSE,లేకపోతే,leekapootee,else
KW_ELIF,లేదావేళ,leedaaveela,elif
KW_WHILE,వరకు,varaku,while
KW_DO,చేయి,ceeyi,do
KW_FOR,కొరకు,koraku,for
KW_BREAK,ఆపు,aapu,break
KW_CONTINUE,కొనసాగు,konasaagu,continue
KW_SWITCH,ఎంపిక,empika,switch
KW_CASE,స్థితి,sthiti,case
KW_DEFAULT,అప్రమేయ,aprameeya,default
KW_RETURN,తిరిగి,tirigi,return
KW_GOTO,వెళ్ళు,vellu,goto
KW_VAR,చరరాశి,cararaashi,var
KW_CONST,స్థిరరాశి,sthiraraashi,const
KW_LET,అనుకో,anukoo,let
KW_INT,పూర్ణాంకం,puur_naa_nka_m,int
KW_FLOAT,దశాంశం,dashaa_msha_m,float
KW_DOUBLE,ద్విగుణ,dvigu_na,double
KW_CHAR,అక్షరం,ak_sara_m,char
KW_BOOL,తార్కిక,taarkika,bool
KW_STRING,పదబంధం,padaba_ndha_m,string
KW_VOID,శూన్య,shuunya,void
KW_TRUE,నిజం,nija_m,true
KW_FALSE,అబద్ధం,abaddha_m,false
KW_NULL,ఖాళీ,khaalii,null
KW_FUNC,ప్రమేయం,prameeya_m,function
KW_PROC,విధానం,vidhaana_m,procedure
KW_CALL,పిలువు,piluvu,call
KW_PARAM,ప్రాచలం,praacala_m,param
KW_LAMBDA,అజ్ఞాత,ajnyaata,lambda
KW_YIELD,ఇవ్వు,ivvu,yield
KW_AWAIT,వేచిఉండు,veeciu_ndu,await
KW_ASYNC,అసమకాలిక,asamakaalika,async
KW_CLASS,తరగతి,taragati,class
KW_OBJECT,వస్తువు,vastuvu,object
KW_INTERFACE,అంతరముఖం,a_ntaramukha_m,interface
KW_EXTENDS,విస్తరించు,vistari_ncu,extends
KW_IMPLEMENTS,అమలుచేయు,amaluceeyu,implements
KW_NEW,కొత్త,kotta,new
KW_THIS,ఇది,idi,this
KW_SUPER,పర,para,super
KW_PUBLIC,బహిరంగ,bahira_nga,public
KW_PRIVATE,అంతరంగ,a_ntara_nga,private
KW_PROTECTED,రక్షిత,rak_sita,protected
KW_STATIC,స్థిర,sthira,static
KW_ABSTRACT,నైరూప్య,nairuupya,abstract
KW_VIRTUAL,మాయా,maayaa,virtual
KW_OVERRIDE,అధిరోహణ,adhirauha_na,override
KW_MATCH,సరిపోల్చు,saripoolcu,match
KW_WHEN,ఎప్పుడు,eppudu,when
KW_FUN,ప్రమేయ,prameeya,fun
KW_REC,పునరావృత,punaraavr_ta,rec
KW_IN,లో,loo,in
KW_WHERE,ఎక్కడ,ekkada,where
KW_DATA,దత్తాంశం,dattaa_msha_m,data
KW_TYPE,రకం,raka_m,type
KW_MODULE,మాడ్యూల్,maadyuula,module
KW_RULE,నియమం,niyama_m,rule
KW_FACT,వాస్తవం,vaastava_m,fact
KW_QUERY,ప్రశ్న,prashna,query
KW_NOT,కాదు,kaadu,not
KW_AND,మరియు,mariyu,and
KW_OR,లేదా,leedaa,or
KW_THREAD,తంతువు,ta_ntuvu,thread
KW_SPAWN,సృష్టించు,sr_sti_ncu,spawn
KW_LOCK,తాళం,taala_m,lock
KW_SYNC,సమకాలీకరణ,samakaaliikara_na,synchronized
KW_CHANNEL,మార్గం,maarga_m,channel
KW_SELECT,ఎంచుకో,e_ncukoo,select
KW_PTR,సూచిక,suucika,pointer
KW_REF,సూచన,suucana,ref
KW_ALLOC,కేటాయించు,keetaayi_ncu,alloc
KW_FREE,విడుదల,vidudala,free
KW_SIZEOF,పరిమాణం,parimaa_na_m,sizeof
KW_STRUCT,నిర్మాణం,nirmaa_na_m,struct
KW_UNION,సంఘం,sa_ngha_m,union
KW_ENUM,గణన,ga_nana,enum
KW_TYPEDEF,రకనిర్వచనం,rakanirvacana_m,typedef
KW_VOLATILE,అస్థిర,asthira,volatile
KW_REGISTER,నమోదు,namoodu,register
KW_EXTERN,బాహ్య,baahya,extern
KW_INLINE,అంతఃవరుస,a_nta_hvarusa,inline
KW_ENTITY,అస్తిత్వం,astitva_m,entity
KW_ARCH,నిర్మాణకళ,nirmaa_nakala,architecture
KW_SIGNAL,సంకేతం,sa_nkeeta_m,signal
KW_PORT,రేవు,reevu,port
KW_WIRE,తీగ,tiiga,wire
KW_REG,నమోదిక,namoodika,reg
KW_MODULE_HW,భాగం,bhaaga_m,module
KW_ALWAYS,ఎల్లప్పుడూ,ellappuduu,always
KW_ASSIGN,కేటాయింపు,keetaayi_mpu,assign
KW_BEGIN,ప్రారంభం,praara_mbha_m,begin
KW_END,ముగింపు,mugi_mpu,end
KW_TRY,ప్రయత్నించు,prayatni_ncu,try
KW_CATCH,పట్టుకో,pattukoo,catch
KW_FINALLY,చివరగా,civaragaa,finally
KW_THROW,విసురు,visuru,throw
KW_RAISE,లేపు,leepu,raise
KW_EXCEPT,మినహాయింపు,minahaayi_mpu,except
KW_IMPORT,దిగుమతి,digumati,import
KW_EXPORT,ఎగుమతి,egumati,export
KW_PACKAGE,సంచి,sa_nci,package
KW_NAMESPACE,నామాకాశ,naamaakaasha,tatsama<sanskrit
KW_USE,ఉపయోగ,upayauga,tatsama<sanskrit
KW_INCLUDE,అన్తర్భావ,antarbhaava,tatsama<sanskrit
KW_FROM,తః,ta_h,tatsama<sanskrit
KW_AS,ఇవ,iva,tatsama<sanskrit
KW_KERNEL,బీజ,biija,tatsama<sanskrit
KW_DEVICE,యన్త్ర,yantra,tatsama<sanskrit
KW_HOST,ఆతిథేయ,aatitheeya,tatsama<sanskrit
KW_GLOBAL,వైశ్విక,vaishvika,tatsama<sanskrit
KW_SHARED,సహభాజిత,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,తన్త్వఙ్క,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,ఖణ్డాఙ్క,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,జాల,jaala,tatsama<sanskrit
KW_BARRIER,అవరోధ,avaurudha,tatsama<sanskrit
KW_ATOMIC,ఆణవిక,aa_navika,tatsama<sanskrit
KW_WARP,తన్తుసమూహ,tantusamuuha,tatsama<sanskrit
KW_TENSOR,ప్రదిశ,pradisha,tatsama<sanskrit
KW_MATRIX,ఆవ్యూహ,aavyuuha,tatsama<sanskrit
KW_VECTOR,సదిశ,sadisha,tatsama<sanskrit
KW_GRAD,ప్రవణతా,prava_nataa,tatsama<sanskrit
KW_BACKPROP,ప్రతిప్రసార,pratiprasaara,tatsama<sanskrit
KW_FORWARD,అగ్రప్రసార,agraprasaara,tatsama<sanskrit
KW_LAYER,స్తర,stara,tatsama<sanskrit
KW_MODEL,ప్రతిమాన,pratimaana,tatsama<sanskrit
KW_TRAIN,ప్రశిక్షణ,prashik_sa_na,tatsama<sanskrit
KW_INFER,అనుమాన,anumaana,tatsama<sanskrit
KW_LOSS,హాని,haani,tatsama<sanskrit
KW_OPTIMIZE,అనుకూలన,anukuulana,tatsama<sanskrit
KW_ACTIVATION,సక్రియణ,sakriya_na,tatsama<sanskrit
KW_WEIGHT,భార,bhaara,tatsama<sanskrit
KW_BIAS,పక్షపాత,pak_sapaata,tatsama<sanskrit
KW_EPOCH,కల్ప,kalpa,tatsama<sanskrit
KW_BATCH,పుఞ్జ,pu_nja,tatsama<sanskrit
KW_DATASET,దత్తసమూహ,dattasamuuha,tatsama<sanskrit
KW_EMBED,నివేశన,niveeshana,tatsama<sanskrit
KW_ATTENTION,అవధాన,avadhaana,tatsama<sanskrit
KW_PIN,కీలక,kiilaka,tatsama<sanskrit
KW_READ,పఠ,patha,tatsama<sanskrit
