# language_name: Bengali
# code: bengali
# iso639: ben
# script: Bengali
# speakers: 270 million
construct_id,native_keyword,romenagri,note
KW_IF,যদি,yadi,if
KW_ELSE,অন্যথা,anyathaa,else
KW_ELIF,নতুবা_যদি,natubaa_yadi,elif
KW_WHILE,যতক্ষণ,yatak_sa_na,while
KW_DO,করো,karau,do
KW_FOR,জন্য,janya,for
KW_BREAK,বিরতি,birati,break
KW_CONTINUE,চালু,caalu,continue
KW_SWITCH,নির্বাচন,nirbaacana,switch
KW_CASE,ক্ষেত্র,k_seetra,case
KW_DEFAULT,পূর্বনির্ধারিত,puurbanirdhaarita,default
KW_RETURN,ফেরত,pheerata,return
KW_GOTO,যাও,yaaau,goto
KW_VAR,চল,cala,var
KW_CONST,ধ্রুবক,dhrubaka,const
KW_LET,ধরি,dhari,let
KW_INT,পূর্ণসংখ্যা,puur_nasa_nkhyaa,int
KW_FLOAT,দশমিক,dashamika,float
KW_DOUBLE,দ্বিগুণ,dbigu_na,double
KW_CHAR,অক্ষর,ak_sara,char
KW_BOOL,যৌক্তিক,yauktika,bool
KW_STRING,বাক্য,baakya,string
KW_VOID,শূন্য,shuunya,void
KW_TRUE,সত্য,satya,true
KW_FALSE,মিথ্যা,mithyaa,false
KW_NULL,ফাঁকা,phaa_nkaa,null
KW_FUNC,কাজ,kaaja,function
KW_PROC,প্রক্রিয়া,prakriyaa,procedure
KW_CALL,ডাকো,daakau,call
KW_PARAM,প্রাচল,praacala,param
KW_LAMBDA,অনামা,anaamaa,lambda
KW_YIELD,দাও,daaau,yield
KW_AWAIT,অপেক্ষা,apeek_saa,await
KW_ASYNC,অসমলয়,asamalaya,async
KW_CLASS,শ্রেণী,shree_nii,class
KW_OBJECT,বস্তু,bastu,object
KW_INTERFACE,সংযোগস্থল,sa_nyaugasthala,interface
KW_EXTENDS,সম্প্রসারিত,samprasaarita,extends
KW_IMPLEMENTS,বাস্তবায়িত,baastabaayita,implements
KW_NEW,নতুন,natuna,new
KW_THIS,এই,eei,this
KW_SUPER,পরম,parama,super
KW_PUBLIC,সর্বজনীন,sarbajaniina,public
KW_PRIVATE,ব্যক্তিগত,byaktigata,private
KW_PROTECTED,সুরক্ষিত,surak_sita,protected
KW_STATIC,স্থির,sthira,static
KW_ABSTRACT,বিমূর্ত,bimuurta,abstract
KW_VIRTUAL,আভাসী,aabhaasii,virtual
KW_OVERRIDE,অধিরোহণ,adhirauha_na,override
KW_MATCH,মিল,mila,match
KW_WHEN,যখন,yakhana,when
KW_FUN,ফলন,phalana,fun
KW_REC,পুনরাবৃত্ত,punaraabr_tta,rec
KW_IN,মধ্যে,madhyee,in
KW_WHERE,যেখানে,yeekhaanee,where
KW_DATA,উপাত্ত,upaatta,data
KW_TYPE,প্রকার,prakaara,type
KW_MODULE,অংশ,a_nsha,module
KW_RULE,নিয়ম,niyama,rule
KW_FACT,তথ্য,tathya,fact
KW_QUERY,প্রশ্ন,prashna,query
KW_NOT,নয়,naya,not
KW_AND,এবং,eeba_n,and
KW_OR,অথবা,athabaa,or
KW_THREAD,সুতা,sutaa,thread
KW_SPAWN,উৎপন্ন,uutpanna,spawn
KW_LOCK,তালা,taalaa,lock
KW_SYNC,সমলয়,samalaya,synchronized
KW_CHANNEL,মাধ্যম,maadhyama,channel
KW_SELECT,বাছো,baachau,select
KW_PTR,নির্দেশক,nirdeeshaka,pointer
KW_REF,উল্লেখ,ulleekha,ref
KW_ALLOC,বরাদ্দ,baraadda,alloc
KW_FREE,মুক্ত,mukta,free
KW_SIZEOF,আকার,aakaara,sizeof
KW_STRUCT,কাঠামো,kaathaamau,struct
KW_UNION,সংঘ,sa_ngha,union
KW_ENUM,গণনা,ga_nanaa,enum
KW_TYPEDEF,প্রকারলেখ,prakaaraleekha,typedef
KW_VOLATILE,অস্থির,asthira,volatile
KW_REGISTER,নিবন্ধ,nibandha,register
KW_EXTERN,বাহ্যিক,baahyika,extern
KW_INLINE,অন্তঃরেখ,anta_hreekha,inline
KW_ENTITY,সত্তা,sattaa,entity
KW_ARCH,স্থাপত্য,sthaapatya,architecture
KW_SIGNAL,সংকেত,sa_nkeeta,signal
KW_PORT,দ্বার,dbaara,port
KW_WIRE,তার,taara,wire
KW_REG,নিবন্ধক,nibandhaka,reg
KW_MODULE_HW,যন্ত্রাংশ,yantraa_nsha,module
KW_ALWAYS,সর্বদা,sarbadaa,always
KW_ASSIGN,নির্ধারণ,nirdhaara_na,assign
KW_BEGIN,শুরু,shuru,begin
KW_END,শেষ,sheesa,end
KW_TRY,চেষ্টা,cee_staa,try
KW_CATCH,ধরো,dharau,catch
KW_FINALLY,অবশেষে,abasheesee,finally
KW_THROW,ছোড়ো,chau_dau,throw
KW_RAISE,তোলো,taulau,raise
KW_EXCEPT,ব্যতিক্রম,byatikrama,except
KW_IMPORT,আমদানি,aamadaani,import
KW_EXPORT,রপ্তানি,raptaani,export
KW_PACKAGE,মোড়ক,mau_daka,package
KW_NAMESPACE,নামাকাশ,naamaakaasha,tatsama<sanskrit
KW_USE,উপযোগ,upayauga,tatsama<sanskrit
KW_INCLUDE,অন্তর্ভা঵,antarbhaava,tatsama<sanskrit
KW_FROM,তঃ,ta_h,tatsama<sanskrit
KW_AS,ই঵,iva,tatsama<sanskrit
KW_KERNEL,বীজ,biija,tatsama<sanskrit
KW_DEVICE,যন্ত্র,yantra,tatsama<sanskrit
KW_HOST,আতিথেয,aatitheeya,tatsama<sanskrit
KW_GLOBAL,঵ৈশ্঵িক,vaishvika,tatsama<sanskrit
KW_SHARED,সহভাজিত,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,তন্ত্঵ঙ্ক,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,খণ্ডাঙ্ক,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,জাল,jaala,tatsama<sanskrit
KW_BARRIER,অ঵রোধ,avaurudha,tatsama<sanskrit
