script	full	partial
ahom	10	15
balinese	1	24
bengali	19	6
bhaiksuki	24	1
brahmi	15	10
cham	9	16
dives_akuru	15	10
dogra	24	1
grantha	16	9
gujarati	24	1
gurmukhi	13	12
javanese	2	23
kaithi	24	1
kannada	24	1
khmer	2	23
khojki	17	8
khudawadi	22	3
lao	0	25
limbu	4	21
mahajani	3	22
malayalam	24	1
marchen	8	17
meetei_mayek	0	25
modi	24	1
multani	3	22
myanmar	14	11
nandinagari	24	1
newa	19	6
ol_chiki	0	25
oriya	24	1
saurashtra	24	1
sharada	24	1
siddham	24	1
sinhala	0	25
soyombo	8	17
sundanese	4	21
tai_tham	0	25
takri	22	3
tamil	13	12
telugu	24	1
thai	0	25
tibetan	11	14
tirhuta	24	1
zanabazar_square	13	12
